type,key,value,desc,seq,node_type,content,shape,width_cm,height_cm,bg_color,text_color,branch_to,branch_label,branch_kind
config,title,综合账户激活业务流程,流程图标题,,,,,,,,,
config,preset,green,配色预设：green/blue/red/yellow,,,,,,,,,
config,no_connectors,true,禁用连接线（默认 true 不连线；false 时连线）,,,,,,,,,
config,step_gap_cm,1.2,纵向间隔（cm）,,,,,,,,,
config,box_width_cm,5.0,主流程矩形宽度（cm）,,,,,,,,,
config,box_height_cm,0.6,主流程矩形高度（cm）,,,,,,,,,
config,diamond_width_cm,4.5,菱形判断宽度（cm）,,,,,,,,,
config,diamond_height_cm,1.0,菱形判断高度（cm）,,,,,,,,,
config,title_bg,1F3864,标题栏背景色,,,,,,,,,
config,title_text,FFFFFF,标题栏文字色,,,,,,,,,
,,,,1,main,客户到达网点取号,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,2,main,Pad身份识别与分流,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,3,main,柜员输入交易代码进入场景,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,4,main,选择证件类型并读取身份证件,diamond,4.5,1.0,FFF2CC,7F6000,41,缺失,error
,,,,5,main,人脸识别身份核实,diamond,4.5,1.0,FFF2CC,7F6000,42,不通过,error
,,,,6,main,读取介质并校验状态,diamond,4.5,1.0,FFF2CC,7F6000,43,异常,error
,,,,7,main,不动户验证原密码,diamond,4.5,1.0,FFF2CC,7F6000,44,非密码类,normal
,,,,8,main,设置取款密码和查询密码,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,9,main,阅读账户协议,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,10,main,业务信息确认与电子签名,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,11,main,凭证打印与回单服务,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,12,main,客户评价,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,13,main,系统质检与自动归档,rect,5.0,0.6,C6EFCE,006100,,,,
,,,,41,branch,客户信息维护,rect,5.0,0.6,FCE4EC,C00000,,,,
,,,,42,branch,上级现场审核,rect,5.0,0.6,FCE4EC,C00000,,,,
,,,,43,branch,拒绝交易,rect,5.0,0.6,FCE4EC,C00000,,,,
,,,,44,branch,跳过验密,rect,5.0,0.6,DDEBF7,1F3864,,,,
